No.;Date;Time;TempPritoch_K1;Unit;WetnessPritoch_K1;Unit;TempVyt_K1;Unit;WetnessVyt_K1;Unit;TempPritoch_P1;Unit;WetnessPritoch_K1;Unit;TempVyt_P1;Unit;WetnessVyt_P1;Unit;PressurePerepad_K1;Unit;PressurePerepad_P1;Unit;TempObrat_K1;Unit;TempOutAir_K1;Unit;TempObrat_P1;Unit;FlawSpeed_K1;Unit;FlawSpeed_P1;Unit
1;2020-07-08;14:30:36;20,72;°C;63,57;%;40,73;°C;50,82;%;23,44;°C;80,15;%;32,67;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;31,20;°C;23,00;°C;23,46;m/c;13,87;m/c
2;2020-07-08;14:31:00;20,72;°C;63,15;%;30,26;°C;50,82;%;23,44;°C;79,73;%;32,64;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;31,10;°C;23,10;°C;23,39;m/c;13,95;m/c
3;2020-07-08;14:32:00;20,72;°C;63,05;%;30,32;°C;50,82;%;23,44;°C;79,73;%;32,49;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;31,00;°C;23,10;°C;23,33;m/c;13,99;m/c
4;2020-07-08;14:33:00;20,73;°C;63,05;%;30,37;°C;50,82;%;23,44;°C;79,34;%;32,39;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;30,80;°C;23,10;°C;23,27;m/c;13,63;m/c
5;2020-07-08;14:34:00;20,72;°C;62,95;%;30,31;°C;50,82;%;23,44;°C;79,32;%;32,28;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;30,60;°C;23,10;°C;23,26;m/c;13,63;m/c
6;2020-07-08;14:35:00;20,72;°C;63,25;%;30,26;°C;50,82;%;23,44;°C;79,73;%;32,26;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;30,60;°C;23,10;°C;23,33;m/c;13,90;m/c
7;2020-07-08;14:36:00;20,72;°C;63,86;%;30,32;°C;50,82;%;23,44;°C;80,54;%;32,41;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;30,60;°C;23,10;°C;23,30;m/c;13,80;m/c
8;2020-07-08;14:37:00;20,72;°C;64,08;%;30,26;°C;50,82;%;23,44;°C;80,95;%;32,54;°C;0,00;%;0,00;MPa;0,00;MPa;22,00;°C;30,60;°C;23,10;°C;23,44;m/c;13,75;m/c
9;2020-07-08;14:38:00;20,72;°C;63,37;%;30,32;°C;50,82;%;23,44;°C;79,73;%;32,54;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,60;°C;23,10;°C;23,41;m/c;13,71;m/c
10;2020-07-08;14:39:00;20,72;°C;63,05;%;30,26;°C;50,82;%;23,44;°C;79,34;%;32,43;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,60;°C;23,10;°C;23,41;m/c;13,84;m/c
11;2020-07-08;14:40:00;20,72;°C;62,32;%;30,26;°C;50,72;%;23,44;°C;78,49;%;32,21;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,50;°C;23,10;°C;23,32;m/c;13,76;m/c
12;2020-07-08;14:41:00;20,67;°C;62,42;%;30,11;°C;50,92;%;23,44;°C;78,51;%;32,08;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,50;°C;23,10;°C;23,46;m/c;13,90;m/c
13;2020-07-08;14:42:00;20,67;°C;62,54;%;30,06;°C;50,72;%;23,44;°C;78,51;%;31,94;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,40;°C;23,10;°C;23,37;m/c;13,91;m/c
14;2020-07-08;14:43:00;20,67;°C;62,86;%;30,00;°C;50,70;%;23,44;°C;79,32;%;31,93;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,40;°C;23,10;°C;23,48;m/c;13,58;m/c
15;2020-07-08;14:44:00;20,62;°C;63,05;%;30,00;°C;50,72;%;23,44;°C;79,73;%;32,06;°C;0,00;%;0,00;MPa;0,00;MPa;22,10;°C;30,30;°C;23,10;°C;23,30;m/c;13,83;m/c
